Gene_Name,Fold Change,log2FC,abslog2FC
KRT14,0.0030094451828763845,-8.376286746411848,8.376286746411848
KRT6A,0.0031784003077974955,-8.297483446412294,8.297483446412294
KRT16,0.0032871348247753914,-8.24895365360262,8.24895365360262
KRT5,0.008006313545363693,-6.9646461686264125,6.9646461686264125
KRT13,0.010241110976700623,-6.6094839594333115,6.6094839594333115
KRT17,0.010496921595965256,-6.573889895159543,6.573889895159543
GJB2,0.011436262717123363,-6.450240522306095,6.450240522306095
MMP10,0.011821338201923189,-6.402462828709442,6.402462828709442
S100A2,0.01209428487578554,-6.369530723198445,6.369530723198445
PPP2R2C,0.012247829838194503,-6.351330045366048,6.351330045366048
FAM83A,0.012577781552135882,-6.312978705233889,6.312978705233889
DLX5,0.013262920362829545,-6.236457712281525,6.236457712281525
GPX2,0.013269699205116817,-6.235720521418138,6.235720521418138
COL11A1,0.013619043926795221,-6.198230761790758,6.198230761790758
GPR87,0.013686208493689529,-6.1911333593191715,6.1911333593191715
PTHLH,0.013933817474448981,-6.1652656197792854,6.1652656197792854
DSC3,0.014574144997373622,-6.100444940601483,6.100444940601483
PI3,0.014674220494778099,-6.090572321409546,6.090572321409546
COL17A1,0.015534655417158554,-6.008365949182047,6.008365949182047
FAT2,0.015710534171014284,-5.992123955497049,5.992123955497049
PITX1,0.015724035844145518,-5.990884632162351,5.990884632162351
NXPH4,0.016938483033312045,-5.883551513352198,5.883551513352198
SFTPC,58.17993057531157,5.862449669793896,5.862449669793896
PKP1,0.0178112373574231,-5.811068444957334,5.811068444957334
CLCA2,0.017927305363525516,-5.8016975354128455,5.8016975354128455
CLDN18,55.012326517515426,5.7816830119463605,5.7816830119463605
MMP11,0.019296700813498047,-5.69550198097932,5.69550198097932
KRT15,0.01934636784442454,-5.691793454655812,5.691793454655812
LYPD3,0.019358716101555658,-5.690872915640526,5.690872915640526
AGER,49.24721751893141,5.621970309100222,5.621970309100222
B4GALNT4,0.02079839087378033,-5.587384275265032,5.587384275265032
MMP1,0.022062385189893036,-5.502267418989907,5.502267418989907
GNG4,0.022396596109483385,-5.4805767052206456,5.4805767052206456
NPTX2,0.023606752160432568,-5.4046566219205925,5.4046566219205925
SLC2A1,0.024964328766638972,-5.323988073335437,5.323988073335437
TP63,0.026419685225510216,-5.242242911922032,5.242242911922032
TMPRSS4,0.02688563124220402,-5.217020845023672,5.217020845023672
TFAP2A,0.028516512889153686,-5.132058615605397,5.132058615605397
HOXA10,0.02981610844853612,-5.067764218148292,5.067764218148292
CNFN,0.029917593048951002,-5.062862078587416,5.062862078587416
TNS4,0.030300812364680293,-5.044499716908679,5.044499716908679
HAP1,0.030669139156339,-5.027068517213167,5.027068517213167
GPIHBP1,32.455312153534415,5.02038272689714,5.02038272689714
MS4A15,32.412863447774264,5.018494573100118,5.018494573100118
IL20RB,0.031319994884684246,-4.996772212772887,4.996772212772887
GJB3,0.03182377899757103,-4.973751027350894,4.973751027350894
COL7A1,0.032498560379409,-4.943480378694823,4.943480378694823
TNNC1,29.650964131750502,4.890007111141977,4.890007111141977
HBB,29.630299840636923,4.889001320457946,4.889001320457946
ADH1B,29.217305071299258,4.8687512087038485,4.8687512087038485
HBA1,28.525399675370444,4.834175195446381,4.834175195446381
FAM83F,0.03544775668377447,-4.8181618605779235,4.8181618605779235
FAM107A,28.13979847606778,4.814540091599026,4.814540091599026
FBN2,0.03573753238684155,-4.806416167487375,4.806416167487375
SPTSSB,0.036028030092325636,-4.794736418213376,4.794736418213376
GBP6,0.03612918683124644,-4.790691405741438,4.790691405741438
CLIC5,27.54912985274431,4.783934846462168,4.783934846462168
ARTN,0.03666420078184385,-4.769484098388622,4.769484098388622
HBA2,26.75664828288792,4.741825500533876,4.741825500533876
IGSF9,0.03747780778381943,-4.737819622901144,4.737819622901144
INMT,26.010056895887313,4.700997650005433,4.700997650005433
CNTNAP2,0.03890414678209291,-4.683932249907447,4.683932249907447
MYEOV,0.03915915627056843,-4.674506509035878,4.674506509035878
ALDH3B2,0.039821571444660635,-4.6503060357508215,4.6503060357508215
PSAT1,0.03991416345558146,-4.646955415224345,4.646955415224345
OTX1,0.04004918111063362,-4.6420834457601154,4.6420834457601154
TPX2,0.04013140933135006,-4.63912436832794,4.63912436832794
FCN3,24.63703396207554,4.622756676172903,4.622756676172903
KIF18B,0.040665121621067314,-4.620064261065494,4.620064261065494
UBE2C,0.0409425381052464,-4.610255649251416,4.610255649251416
LRRC36,24.285115402180413,4.602000436911251,4.602000436911251
TENM2,0.04188854710903543,-4.577300344122211,4.577300344122211
C19orf59,23.76467031066965,4.570746482033135,4.570746482033135
MYBL2,0.04231124204210411,-4.562815153296165,4.562815153296165
SOX2,0.04265457733003345,-4.551155622041222,4.551155622041222
SCARA5,23.169658062065846,4.534164847946289,4.534164847946289
CLEC3B,23.065067920241397,4.527637635634792,4.527637635634792
AKR1C2,0.04387486620008548,-4.510461463964762,4.510461463964762
SAPCD2,0.04389142789920473,-4.50991698429368,4.50991698429368
PEBP4,22.624974795686615,4.499844279915993,4.499844279915993
STAR,0.04435098709636044,-4.494889975593899,4.494889975593899
CENPA,0.04464295883795485,-4.48542354075769,4.48542354075769
CTSV,0.044768887057345164,-4.48135973610344,4.48135973610344
CDC20,0.045179133531573025,-4.4681995875184874,4.4681995875184874
FOXM1,0.04551917729692018,-4.457381706831005,4.457381706831005
DES,21.948216538192014,4.456031809315838,4.456031809315838
FOXN1,0.045771052712301884,-4.449420716159242,4.449420716159242
PRG4,21.724281870132838,4.441236582190703,4.441236582190703
MELK,0.0461268087740193,-4.4382507049834015,4.4382507049834015
CYP4B1,21.238639613314987,4.408619455851547,4.408619455851547
TROAP,0.04710249721629169,-4.4080526410607375,4.4080526410607375
TTK,0.0473084283845544,-4.40175895535657,4.40175895535657
SUSD2,21.069112900808353,4.397057666729008,4.397057666729008
KIAA1549L,0.04752186902614242,-4.39526461159646,4.39526461159646
FIGF,21.01060098869759,4.393045524438209,4.393045524438209
TOP2A,0.04775744486617363,-4.388130538630771,4.388130538630771
SFTPA1,20.793184155366806,4.3780387964894665,4.3780387964894665
COL22A1,0.04826829706887249,-4.372780261140767,4.372780261140767
NEK2,0.048492296700555146,-4.366100605249922,4.366100605249922
CENPF,0.048869036756912045,-4.354935521443908,4.354935521443908
LY6K,0.04897574294414671,-4.351788811958609,4.351788811958609
KCNG1,0.04986729823976768,-4.325762148425533,4.325762148425533
CYP4F3,0.05014495672879783,-4.3177515790314605,4.3177515790314605
EEF1A2,0.05020762749585007,-4.3159496360663105,4.3159496360663105
CDC45,0.05026154159040066,-4.314401268442378,4.314401268442378
FERMT1,0.05039510459468611,-4.310572593350912,4.310572593350912
IL1RL1,19.817778347411902,4.308723334565105,4.308723334565105
BIRC5,0.05058080502619029,-4.305266191167203,4.305266191167203
KIAA0408,19.71961113802951,4.301559197578451,4.301559197578451
BARX2,0.05099603609072547,-4.293471078661262,4.293471078661262
KIF14,0.05112857597755308,-4.289726344832047,4.289726344832047
PPAPDC1A,0.05157102711165512,-4.277295410591385,4.277295410591385
FGF11,0.05227284744700055,-4.257794440735617,4.257794440735617
NUF2,0.052661096275828816,-4.24711863467941,4.24711863467941
CDCA8,0.05276456178000931,-4.244286891051523,4.244286891051523
SOX21,0.05292578357729464,-4.239885465981941,4.239885465981941
DLGAP5,0.05303774172720187,-4.236836840951795,4.236836840951795
HJURP,0.05332462721770088,-4.229054214779514,4.229054214779514
RHOV,0.053630503803873714,-4.2208023837013675,4.2208023837013675
KIF4A,0.05385308827404863,-4.214827109445334,4.214827109445334
CACNA2D2,18.472116798843185,4.207277295274172,4.207277295274172
TNXB,18.412814249885415,4.202638242708296,4.202638242708296
KIF2C,0.054312980539243876,-4.202559153410086,4.202559153410086
ANLN,0.05465302208361454,-4.193554916668061,4.193554916668061
ASPM,0.054727871434780494,-4.191580443775719,4.191580443775719
GPD1,18.267394278132315,4.191198952710426,4.191198952710426
UPK3B,18.244317033215992,4.189375240261141,4.189375240261141
POLQ,0.05488654901379207,-4.187403556915221,4.187403556915221
E2F7,0.055107815361721615,-4.181599254208049,4.181599254208049
IGSF11,0.05531057296547751,-4.176300902680722,4.176300902680722
CDCA3,0.055669999949536725,-4.1669561078787405,4.1669561078787405
TICRR,0.05581033219345384,-4.163323956172308,4.163323956172308
SCN7A,17.756466032067753,4.1502725737976025,4.1502725737976025
SERPINB2,0.05634837820052557,-4.149482101927891,4.149482101927891
SFTPA2,17.638400446106957,4.140647829643202,4.140647829643202
ALG1L,0.05673420887794748,-4.139637294175838,4.139637294175838
OGN,17.45134888954376,4.125266647714542,4.125266647714542
F12,0.057341613571973336,-4.124273687715808,4.124273687715808
CCNB2,0.057784277425495335,-4.11317918780812,4.11317918780812
TRIM29,0.05778551866632391,-4.113148198188885,4.113148198188885
NDNF,17.2456207888851,4.108158157169817,4.108158157169817
CABYR,0.05828266151971421,-4.100789429159896,4.100789429159896
TCF21,17.069184701059974,4.093322245471639,4.093322245471639
CDKN2A,0.05865146616826207,-4.091689016606324,4.091689016606324
PVRL1,0.05890117265510419,-4.08555983302183,4.08555983302183
CDC6,0.058932123437874226,-4.084801939568597,4.084801939568597
FABP4,16.900122519116323,4.078961800393687,4.078961800393687
SDPR,16.850593052442232,4.074727462482094,4.074727462482094
SLC6A8,0.05941111441796996,-4.073123339291856,4.073123339291856
VTCN1,0.05961787849891284,-4.068111151808175,4.068111151808175
AURKB,0.059991803018563564,-4.05909079825919,4.05909079825919
FHL5,16.59166405515513,4.052386683033228,4.052386683033228
ADAM23,0.06029755522505072,-4.051756680786963,4.051756680786963
DEPDC1,0.06053349259070755,-4.046122597392877,4.046122597392877
EXO1,0.0608571088115504,-4.038430393587627,4.038430393587627
BUB1B,0.06090033055099534,-4.0374061310521885,4.0374061310521885
MCM10,0.06091673109932875,-4.037017663466928,4.037017663466928
CCNE1,0.06095712702079744,-4.036061281210582,4.036061281210582
NCAPH,0.06118193677220078,-4.030750412276732,4.030750412276732
CAMK2N2,0.06120069581801456,-4.030308134119995,4.030308134119995
SKA1,0.06126553532065911,-4.028780469933879,4.028780469933879
SIX2,0.06141850170703104,-4.025182871309872,4.025182871309872
MEX3A,0.06171438281945761,-4.018249434530116,4.018249434530116
CKAP2L,0.061802758669850646,-4.016184953093514,4.016184953093514
CKMT1B,0.061993328445942804,-4.01174322485334,4.01174322485334
NEIL3,0.06209311837485938,-4.009422802755632,4.009422802755632
PBK,0.062134980106183076,-4.008450499143033,4.008450499143033
FOLR1,15.92836509245446,3.9935262893053425,3.9935262893053425
SOX15,0.06305124076549104,-3.9873314286009625,3.9873314286009625
GALNT14,0.06363455010659363,-3.9740459064450016,3.9740459064450016
ATOH8,15.695349022011833,3.972265205790633,3.972265205790633
SPP1,0.0638473337301709,-3.9692298156505856,3.9692298156505856
CDC25C,0.06394321922418957,-3.9670648112824782,3.9670648112824782
SLC46A2,15.602947330324932,3.963746668668262,3.963746668668262
ABCA8,15.54505119644162,3.958383462980351,3.958383462980351
SFTPD,15.539896499378823,3.957904989860131,3.957904989860131
DSP,0.06448504210214531,-3.9548916367995566,3.9548916367995566
GINS1,0.06471755571850298,-3.9496990693273824,3.9496990693273824
KCNK3,15.367388967231198,3.9418001562060194,3.9418001562060194
CEL,0.06508505440451137,-3.941529896951522,3.941529896951522
MFI2,0.0654250287454551,-3.934013536631848,3.934013536631848
EDNRB,15.171889100518312,3.9233288262382002,3.9233288262382002
RCOR2,0.06606695658749442,-3.9199273021090004,3.9199273021090004
CDCA5,0.06644769725497611,-3.9116369860052607,3.9116369860052607
PLK1,0.06653764355868405,-3.909685415925438,3.909685415925438
CEP55,0.06676995383352939,-3.904657147060101,3.904657147060101
HSD17B6,14.971479483166307,3.904144890603044,3.904144890603044
DEPDC1B,0.06684782608695651,-3.9029755456051354,3.9029755456051354
C16orf89,14.93541215993268,3.9006651459198105,3.9006651459198105
ERCC6L,0.06704231200671316,-3.898784287409523,3.898784287409523
FAM64A,0.06705175887478616,-3.898581012952214,3.898581012952214
IGF2BP3,0.06707707232820084,-3.8980364679231525,3.8980364679231525
POU3F1,0.06712668399199448,-3.8969698136573063,3.8969698136573063
BMP7,0.06737461025198287,-3.8916511675742624,3.8916511675742624
PCDH19,0.06854738813518103,-3.866754493809748,3.866754493809748
CCL14,14.572367398407835,3.8651633687548115,3.8651633687548115
LYVE1,14.525337591022717,3.860499789342261,3.860499789342261
WNK2,0.0692732543341452,-3.8515577391052576,3.8515577391052576
COL10A1,0.06939747407885821,-3.8489730370608646,3.8489730370608646
CDCA2,0.06956103583845079,-3.8455767736933435,3.8455767736933435
VEPH1,14.370116757810042,3.84499987868882,3.84499987868882
CBLC,0.06966469073177158,-3.84342857261195,3.84342857261195
NAPSA,14.324677094575813,3.8404307131501896,3.8404307131501896
EFCC1,14.231834956273651,3.8310497800579837,3.8310497800579837
FAM189A2,14.10959837492153,3.8186050175670143,3.8186050175670143
CRABP2,0.07101425110748183,-3.815747616721246,3.815747616721246
VSIG2,14.072639596567234,3.814821054287008,3.814821054287008
TEK,13.940426450409335,3.801202790131022,3.801202790131022
ZBTB16,13.925195212493596,3.7996256472370407,3.7996256472370407
RASGRF1,13.920873305642196,3.7991778142779498,3.7991778142779498
RAD54L,0.07285171374983772,-3.7788932794024164,3.7788932794024164
PIGR,13.718051810462185,3.7780037044626416,3.7780037044626416
SLC47A2,0.07297600833360457,-3.776433949715689,3.776433949715689
HIGD1B,13.671452159624035,3.7730945867135026,3.7730945867135026
HRASLS,0.07328722952461347,-3.7702943625837304,3.7702943625837304
CHGB,0.07358060256871927,-3.76453069884922,3.76453069884922
PRX,13.544574757367407,3.7596431945869275,3.7596431945869275
GTSE1,0.07414859956976592,-3.75343674473923,3.75343674473923
UCHL1,0.07420672228027922,-3.752306305339212,3.752306305339212
SLC34A2,13.474979680893885,3.752211192407204,3.752211192407204
NDC80,0.07479467347101502,-3.740920658038477,3.740920658038477
C2CD4A,0.07519728296130883,-3.733175654588052,3.733175654588052
MKI67,0.07523498720703983,-3.7324524622914157,3.7324524622914157
OVOL1,0.07549621251592392,-3.727451920456941,3.727451920456941
GYPE,13.244333674164963,3.727303358061929,3.727303358061929
PDK4,13.236347068995252,3.7264331209156105,3.7264331209156105
SEC14L6,13.218420169522723,3.7244778549559348,3.7244778549559348
CDH3,0.07589552662755729,-3.7198413357865543,3.7198413357865543
XRCC2,0.07607828373039215,-3.7163714893383517,3.7163714893383517
TMEM40,0.07647207191036273,-3.708923227236389,3.708923227236389
AKR1C1,0.07685564016188604,-3.701705051719426,3.701705051719426
GPR133,12.937974160959735,3.6935398314803787,3.6935398314803787
COCH,0.0776721273914538,-3.68645920875093,3.68645920875093
C16orf59,0.07782485559736387,-3.683625194972789,3.683625194972789
IQGAP3,0.07797102872156282,-3.6809180207211187,3.6809180207211187
BTBD11,0.07809541243099972,-3.678618387341366,3.678618387341366
SKA3,0.07810904278562243,-3.678366609054474,3.678366609054474
FHL1,12.750708538588176,3.6725055126935096,3.6725055126935096
CCNA2,0.0786489053454787,-3.668429503773172,3.668429503773172
RTKN2,12.629482013456744,3.6587235644212335,3.6587235644212335
MTL5,0.07980210452770863,-3.647429396313904,3.647429396313904
NOSTRIN,12.467628548808962,3.640115173027595,3.640115173027595
TMEM171,0.08045337798731644,-3.635703193273006,3.635703193273006
HSPB6,12.396426303498162,3.6318523689421554,3.6318523689421554
SELENBP1,12.360471626751991,3.6276618867214894,3.6276618867214894
SLC19A3,12.35528694304841,3.627056611544009,3.627056611544009
GREM1,0.0814356667603786,-3.618195392968606,3.618195392968606
DLC1,12.242828190265937,3.613864965397825,3.613864965397825
TDRD10,12.241127773185866,3.6136645743093534,3.6136645743093534
RRM2,0.08170157095507898,-3.6134923710449836,3.6134923710449836
OIP5,0.08173835934505917,-3.6128429039461465,3.6128429039461465
AUNIP,0.08224486110693106,-3.6039306518041805,3.6039306518041805
PTPRH,0.08229705047992845,-3.6030154642825427,3.6030154642825427
STRA6,0.08253519304180644,-3.5988467734396474,3.5988467734396474
NCAPG,0.08287339845381769,-3.592947104670895,3.592947104670895
B4GALNT1,0.08302134712843133,-3.5903738480555676,3.5903738480555676
SALL4,0.08315015482725988,-3.5881372399325104,3.5881372399325104
ORC6,0.08361072661873947,-3.5801681488209485,3.5801681488209485
LPL,11.897917275623355,3.572637147487544,3.572637147487544
ASPA,11.861190172408149,3.568176874558967,3.568176874558967
GPR116,11.858270260904048,3.567821677451518,3.567821677451518
NPR1,11.833223494952662,3.564771227457678,3.564771227457678
SPC25,0.0846315701900645,-3.562660256210495,3.562660256210495
KIF20A,0.08471022908946142,-3.561319998663617,3.561319998663617
BAIAP2L2,0.084929900244855,-3.557583634338785,3.557583634338785
FXYD1,11.764247101921086,3.5563370876058125,3.5563370876058125
MMRN1,11.730460647332778,3.5521877630341545,3.5521877630341545
TRIP13,0.08532122464358817,-3.550951516471395,3.550951516471395
EPN3,0.08539980619443759,-3.5496233939645685,3.5496233939645685
CREG2,0.08582921109836875,-3.5423874519039695,3.5423874519039695
RAMP3,11.643743117260856,3.5414830112622995,3.5414830112622995
SGOL1,0.08604174686963724,-3.538819374281774,3.538819374281774
ROBO4,11.62119373263123,3.53868636532448,3.53868636532448
SFTPB,11.618133899010619,3.538306457016815,3.538306457016815
MSI1,0.0860787309333139,-3.538199381509729,3.538199381509729
KIF11,0.08629701000150941,-3.534545615662766,3.534545615662766
XDH,0.08632474869763003,-3.5340819605594933,3.5340819605594933
CXCL14,0.08645751318076159,-3.5318648498788683,3.5318648498788683
SLC39A8,11.562214105980068,3.5313457880420143,3.5313457880420143
KANK3,11.552049116578672,3.530076876235977,3.530076876235977
EMCN,11.525937416914223,3.5268121862565573,3.5268121862565573
SLC7A11,0.08701616032209315,-3.5225728318998533,3.5225728318998533
GPX3,11.447884387443471,3.5170091023140397,3.5170091023140397
S1PR1,11.428470626567265,3.5145604479503825,3.5145604479503825
SOX17,11.410352351146692,3.512271437557184,3.512271437557184
C7,11.380047630879078,3.508434690905252,3.508434690905252
FPR2,11.364484714810418,3.5064603662634575,3.5064603662634575
ANGPTL1,11.315888410614074,3.5002779499537247,3.5002779499537247
UBE2T,0.08846898077801105,-3.4986844873725707,3.4986844873725707
CCNB1,0.0886417280968785,-3.4958701823441376,3.4958701823441376
BNC1,0.08877363037021833,-3.4937249927468574,3.4937249927468574
HR,0.08882045793712252,-3.4929641802585687,3.4929641802585687
PRC1,0.0888729552535437,-3.4921117274984534,3.4921117274984534
EFNA3,0.08912872809108319,-3.4879656716708802,3.4879656716708802
AQP1,11.200140335167157,3.485444903918574,3.485444903918574
FAM83D,0.08966254427612905,-3.479350751701374,3.479350751701374
C1QTNF7,11.150657679164908,3.479056899426447,3.479056899426447
KIF23,0.08973651690352193,-3.4781610024568943,3.4781610024568943
SYT15,11.06386337353742,3.467783340912028,3.467783340912028
PGM5,11.046122776921237,3.4654681629576816,3.4654681629576816
CDT1,0.09065534489053645,-3.4634641083629174,3.4634641083629174
GINS2,0.0911843708317142,-3.4550696247691772,3.4550696247691772
WISP3,0.09121446310093041,-3.454593591375485,3.454593591375485
MYCN,0.09174850663156829,-3.4461715140288414,3.4461715140288414
CDHR1,0.09178787970807648,-3.44555252676177,3.44555252676177
ORC1,0.09184268589607422,-3.444691356207489,3.444691356207489
ABCA3,10.857493926146974,3.4406192406130764,3.4406192406130764
KIFC1,0.09239827786816426,-3.435990227031794,3.435990227031794
VIPR1,10.810175489616595,3.434318038491338,3.434318038491338
RPL39L,0.09263846519782548,-3.43224483832396,3.43224483832396
MND1,0.09292524558325045,-3.427785593921812,3.427785593921812
LRRK2,10.729110098628249,3.423458514920503,3.423458514920503
CDKN3,0.09352264274593558,-3.4185404919134306,3.4185404919134306
CXCL2,10.684762687754954,3.4174829604891004,3.4174829604891004
SLC1A1,10.68304021787077,3.4172503676693005,3.4172503676693005
BRIP1,0.09372929784998757,-3.4153561146099505,3.4153561146099505
EDARADD,0.09423879938811794,-3.4075350305707177,3.4075350305707177
NUSAP1,0.09435015470021343,-3.405831306447703,3.405831306447703
FSD1,0.09463462648709525,-3.4014880324168786,3.4014880324168786
C17orf53,0.09486884846425386,-3.3979217542040963,3.3979217542040963
TUBB3,0.09545717870168328,-3.3890024925344044,3.3890024925344044
AK4,0.09554452208218363,-3.3876830291980182,3.3876830291980182
ARNTL2,0.09572870508670192,-3.3849045955061094,3.3849045955061094
SRRM3,0.09581296171645323,-3.3836353507326518,3.3836353507326518
FMO2,10.430822939315071,3.3827810785967705,3.3827810785967705
DARC,10.413426964633638,3.3803730195544213,3.3803730195544213
KCNT2,10.403367025043455,3.378978623655089,3.378978623655089
PLAC9,10.398471778690366,3.378299611781712,3.378299611781712
SIM2,0.09648031475887749,-3.3736215758583388,3.3736215758583388
CHODL,0.09665797334842985,-3.3709674440347652,3.3709674440347652
LRRN3,10.278148619957534,3.3615085133734164,3.3615085133734164
KRT23,0.09750715111802305,-3.3583481606131707,3.3583481606131707
CENPI,0.09779386479788453,-3.3541122307659945,3.3541122307659945
CDH5,10.19173125014516,3.349327235090799,3.349327235090799
SPC24,0.09822277840658492,-3.3477985574603086,3.3477985574603086
APOBEC3B,0.0983797560531586,-3.345494712080171,3.345494712080171
MAD2L1,0.09875150599981582,-3.3400534397556116,3.3400534397556116
USHBP1,10.105827889066765,3.337115609828787,3.337115609828787
MFAP4,10.101087674301063,3.336438744085549,3.336438744085549
