Gene_Name,P_Value
HIST3H2A,3.902672133619676e-11
LIN7B,0.344938043721714
LXN,1.7367060308128698e-07
SCML1,0.004411290296407825
GSDMD,3.691940242005681e-07
AKR1C1,0.007325000570549675
C3orf62,3.844023868601481e-09
CRISPLD2,1.8600340349607372e-05
DOCK5,8.08481971897097e-09
SLC33A1,4.383720091149535e-11
GLI1,0.5625346076669367
STK17B,3.025259325975379e-12
VPS52,0.7148334009735113
HAGHL,0.011073442093800961
CDC37L1,1.9243126421585605e-14
KRT10,6.173219268916339e-15
AEN,0.41004668638288666
CYHR1,0.0008170607896391167
VWA1,1.4951242911937588e-06
EXOSC9,0.6994567410238803
TNFAIP8L2,1.735543447527509e-15
PFDN2,6.519698829381871e-15
TCP1,8.970526059941293e-13
ALG9,3.610644723744912e-09
RPS15A,0.6969057019843775
PMEL,0.16690695885469453
SFMBT1,0.9587648295967376
CYBA,3.3208241346960538e-09
GINS1,2.784421099071257e-17
GPX3,8.211730646555817e-18
IPO9,5.4313789912691996e-12
SHKBP1,0.056631889159631875
ARHGAP40,0.11205463999098723
ENO3,0.12253609825502403
COX19,0.0010712338024224685
LMF1,7.993215374563966e-12
S100P,0.2962940227084747
RDH14,0.0018118686066625296
GDE1,6.002844932496881e-07
LSM14B,1.1308364941863604e-13
TLE2,4.092558666583549e-15
ACOT8,0.14293818231643227
EIF4EBP3,1.2316411046773388e-10
LRP2BP,2.867887404476261e-17
PELO,5.399949607037079e-11
CDIPT,0.00035562266653487514
C19orf44,4.755003698228906e-05
PABPN1,1.6017890088024663e-06
NFKBIB,0.08418528696284945
ZWINT,4.331196301276787e-17
DYNLL1,1.1527561845761062e-06
NRXN3,7.5509494101416835e-06
FYTTD1,3.352584374947603e-08
CAPRIN1,1.6092886320743465e-08
AOC3,3.0422939822841966e-17
KIFC3,7.4493122181865895e-09
DOCK11,6.338272833367521e-17
NENF,0.10448372091590112
TMEM231,4.763885084860642e-08
DNAH17,0.06617993344569598
DCHS1,3.3932693756548044e-11
ZFYVE19,0.0002838649668247401
NTRK1,3.3212578999775744e-06
CCDC62,0.004088184364168857
WDR53,2.4738608122235092e-17
NLN,2.0508085012359373e-15
TBC1D31,1.2071093001246585e-15
NOXRED1,0.1788530519564675
ZNF597,1.641464906020988e-15
RNF114,0.000837615794815763
JOSD2,0.22765617476544375
SFRP2,0.0006357444769579134
PNMA2,5.4761028136518295e-17
HENMT1,0.016907707503191156
STX16,0.001447816308575701
PTX3,6.799756244377456e-07
BFAR,3.7949724491485797e-06
SHROOM3,3.9008405669723806e-16
NUP107,1.2548643681468164e-13
HS6ST1,3.0189750385058965e-11
BRWD3,2.3079419073423808e-05
FGF11,4.5930836253087144e-17
CCDC138,1.5605356834601598e-11
FAM193B,0.0018118686066625296
BATF,4.755003698228906e-05
COL4A2,0.03315590213557952
AGFG2,7.627662857171256e-11
TVP23B,0.0020833158445924763
FBXO42,0.16375542318058134
NBEAL1,5.296346125583667e-07
BCL6,0.0001560364787527335
DNAJC3,3.287420875558899e-08
C1orf233,0.01358750584728735
VPS13B,0.6640628695868451
ZMYM3,0.8361546564218431
SEMA3D,0.07701664592968516
ITGB6,2.793318941073314e-13
RBM44,0.0036236425715922894
CEACAM21,2.1085743271752002e-15
ETV6,0.008033139847202666
C1RL,2.9666242406528725e-07
CCDC181,2.051982308552149e-13
GPN3,0.0013476891534607354
RAP1GAP,3.959213898863431e-12
MAGED2,4.929374508125563e-07
C1orf85,0.0006357444769579134
JRKL,0.00022893017449171298
BHLHE40,0.011293657016547548
SPATA18,4.311498850263402e-13
NTPCR,2.529806595337972e-05
CBWD3,0.003505565943941063
TLDC2,1.2358459981312148e-06
C14orf119,0.9725030828239654
GNAI2,8.24041261113812e-17
MNDA,1.5145862172334406e-16
FCGR2A,4.203200994727818e-13
REV1,0.15758720466164866
ECH1,0.0023108513045402477
ZNF491,1.3053465523048e-12
LRRC24,0.6943580856027296
C1orf109,1.230156859152763e-11
GMFG,5.4761028136518295e-17
MAGEH1,5.28239219510408e-13
GMFB,1.8062906409259244e-06
APOBEC3G,0.23572617054804745
SLC7A2,3.6392589056891116e-11
IQCH,0.429911925619208
FAM83G,2.949120988117132e-11
CCNA2,2.867887404476261e-17
PSMC1,5.922449396792082e-11
TGIF1,0.0005891318187221841
C18orf21,3.637141491711862e-05
CD180,0.03315590213557952
TDRKH,0.9176397201287463
TXNDC15,1.594424840573649e-14
IPO5,0.0011663283135920968
DGKD,1.8495947558198558e-10
TMPO,1.675594821454401e-11
LY86,2.8498319935403485e-16
LDOC1,0.23032400254552432
MAD2L1,3.227155467999835e-17
BHMT2,2.4569600276217444e-13
BAI1,0.855044223388649
TOMM70A,4.759910358590352e-16
MRI1,0.0004557378208648718
ARAP1,8.113031942200572e-13
DZIP1,0.19142374906367332
VDAC3,1.5820081193966945e-07
RBM42,0.0001357812971651999
ZNF2,0.11205463999098723
ATP8B2,2.104672910742505e-05
MMADHC,1.9674847644602337e-06
SIK3,1.3401335198236763e-05
GOLIM4,0.0019659726576842992
TSHZ2,1.7754785958451506e-05
ADAM11,1.467927318581135e-07
SPCS2,0.34670157278279146
SNX18,1.0168274581373971e-12
KIF17,2.3316581267605334e-17
PARP11,0.20340518118848738
RAB42,0.9039747211325873
ACP6,0.6943580856027296
IL7,2.0022633745701894e-09
RBPMS2,1.8481806441584064e-12
MTDH,3.3740073165391645e-05
MT-CYB,1.099361063529644e-10
TRIP6,1.3829337489918803e-05
CES1,7.673774066113547e-06
CYSLTR1,2.228954846229184e-15
SH3BGRL,6.500252974712035e-16
TAF15,7.69822331590227e-05
NPIPA1,0.0030674586237370194
DNAJA3,3.775549694297924e-10
TIAF1,0.0001357812971651999
KAT5,1.0036317127343324e-10
KIAA0895,0.3926432384291334
CHORDC1,1.0960845387841716e-12
TLR10,0.03401872989521157
ELP3,0.010230252954990865
RIOK1,6.032711420187449e-14
HIBCH,0.03315590213557952
OGFOD1,0.0008069597162283376
CSNK1G2,4.705738917817933e-06
ADIPOR2,0.7329198386952271
GNA14,3.0422939822841966e-17
CCDC68,1.1675572001380731e-16
ZNF564,3.477014363658254e-05
ANKRD6,1.0571026466914961e-05
NDUFS3,0.00035097076472410434
EFCAB4B,0.0017492879463596263
STRN,1.2358459981312148e-06
SCARF2,1.8691840324611712e-06
C5orf22,6.80185294227098e-13
PTPN2,0.061251982259104824
FBXO45,1.0099815060146218e-16
TOP2B,0.0006771852502682217
ZNF16,9.588729779346893e-11
AMIGO1,2.7981570464888744e-14
PPDPF,0.00335357662934918
ESPN,4.6951198868195816e-12
LAPTM4A,9.666708434183147e-10
KCNK3,1.0437112703467039e-17
PDE2A,5.485161262958621e-16
TTLL11,4.168481885783311e-14
FBXO38,3.287515693468304e-16
ANKMY1,6.980842578637863e-10
GTF2IRD1,2.5603136916884453e-15
BIRC6,0.00022893017449171298
SEC22A,2.6998227531098245e-08
ZC3H15,6.494297073763282e-11
DHCR24,4.168481885783311e-14
ZDHHC2,4.2229777081257955e-05
GLG1,0.00025501382135271165
CBR4,0.7986680030925278
AK3,6.125599847843999e-08
CNPY3,0.475530006472631
RELT,0.22369584451642743
HEATR2,8.052835377677822e-14
TSTD2,0.4712761789820338
PRKX,6.917419395044747e-12
PARD6A,7.479314384472026e-05
FAM89B,0.11680086751652119
RABL2B,3.858553460661762e-06
PFN4,0.013851418744985496
RPS6KL1,0.5192044821835923
HDAC2,3.850825045936928e-17
TMEM182,7.920083978048831e-16
ARNT,1.0751684729855185e-08
CHDH,5.73509842913593e-10
PRRG4,0.0006771852502682217
UVRAG,3.035840963319804e-05
KCNQ4,0.000498839037429843
SMIM8,0.06030378874986
MFAP5,0.3812936846571183
DYNC2H1,3.2519853034472882e-09
THAP9,0.8604570352179164
C17orf53,2.1333449820168132e-17
IST1,8.710286001255252e-07
SLC39A10,0.0005598459930881019
ZNF675,0.09663101235794387
MAPK1,0.04447899727755185
TSR2,0.05486688905543262
RIMBP2,0.0009713614591665923
BUB1B,4.5930836253087144e-17
CHST10,0.015532001698122919
LCAT,1.406599848977758e-12
AKR1C3,0.02762468581890399
DAPK3,0.0031368215915947802
SETDB1,1.1812365457819438e-05
SLC6A9,0.6416931196450413
ZNF17,0.0062031231784603034
GPR35,0.001500410847628085
C20orf112,0.00010393351462464496
AEBP2,2.829470201315512e-10
ABTB2,0.00031996684190402016
EXOC3L4,1.108695956203198e-05
CLEC11A,0.3011020462122582
IL20RB,1.3500747013325681e-15
UBQLN4,9.542653501511265e-15
ZFYVE9,1.0657820890214732e-07
