Gene_Name,Fold Change,log2FC,abslog2FC
KRT14,332.287162328112,8.376286746411848,8.376286746411848
KRT6A,314.62367957450897,8.297483446412294,8.297483446412294
KRT16,304.2163018270264,8.24895365360262,8.24895365360262
KRT5,124.90142864553205,6.9646461686264125,6.9646461686264125
KRT13,97.64565604992299,6.6094839594333115,6.6094839594333115
KRT17,95.26602545877583,6.573889895159543,6.573889895159543
GJB2,87.44115317521636,6.450240522306095,6.450240522306095
MMP10,84.59279168895718,6.402462828709442,6.402462828709442
S100A2,82.68368161247307,6.369530723198445,6.369530723198445
PPP2R2C,81.64711734331325,6.351330045366048,6.351330045366048
FAM83A,79.50527649529627,6.312978705233889,6.312978705233889
DLX5,75.39817571419523,6.236457712281525,6.236457712281525
GPX2,75.35965846267248,6.235720521418138,6.235720521418138
COL11A1,73.42659333321616,6.198230761790758,6.198230761790758
GPR87,73.06625501584917,6.1911333593191715,6.1911333593191715
PTHLH,71.76784121320244,6.1652656197792854,6.1652656197792854
DSC3,68.61465974025975,6.100444940601483,6.100444940601483
PI3,68.14672032193161,6.090572321409546,6.090572321409546
COL17A1,64.37220351186329,6.008365949182047,6.008365949182047
FAT2,63.65155946415787,5.992123955497049,5.992123955497049
PITX1,63.596904122571495,5.990884632162351,5.990884632162351
NXPH4,59.03716395578939,5.883551513352198,5.883551513352198
SFTPC,0.01718805763622458,-5.862449669793896,5.862449669793896
PKP1,56.144330679150436,5.811068444957334,5.811068444957334
CLCA2,55.780831514956894,5.8016975354128455,5.8016975354128455
CLDN18,0.018177744213046673,-5.78168301194636,5.78168301194636
MMP11,51.822330131195265,5.69550198097932,5.69550198097932
KRT15,51.68928907180845,5.691793454655812,5.691793454655812
LYPD3,51.656318257574966,5.690872915640526,5.690872915640526
AGER,0.02030571574151543,-5.621970309100222,5.621970309100222
B4GALNT4,48.08064268378851,5.587384275265032,5.587384275265032
MMP1,45.326014906951606,5.502267418989907,5.502267418989907
GNG4,44.649642075590684,5.4805767052206456,5.4805767052206456
NPTX2,42.36076158227757,5.4046566219205925,5.4046566219205925
SLC2A1,40.057155525701454,5.323988073335437,5.323988073335437
TP63,37.850564511435735,5.242242911922032,5.242242911922032
TMPRSS4,37.19458884901459,5.217020845023672,5.217020845023672
TFAP2A,35.06740125930166,5.132058615605397,5.132058615605397
HOXA10,33.53891745215653,5.067764218148292,5.067764218148292
