Gene_Name,Statistic
HIST3H2A,44.0
LIN7B,494.0
LXN,142.0
SCML1,388.0
GSDMD,139.0
AKR1C1,239.0
C3orf62,55.0
CRISPLD2,146.0
DOCK5,189.0
SLC33A1,32.0
GLI1,468.0
STK17B,29.0
VPS52,564.0
HAGHL,347.0
CDC37L1,49.0
KRT10,18.0
AEN,581.0
CYHR1,257.0
VWA1,284.0
EXOSC9,579.0
TNFAIP8L2,3.0
PFDN2,5.0
TCP1,19.0
ALG9,101.0
RPS15A,632.0
PMEL,424.0
SFMBT1,589.0
CYBA,126.0
GINS1,0.0
GPX3,0.0
IPO9,30.0
SHKBP1,419.0
ARHGAP40,486.0
ENO3,410.0
COX19,232.0
LMF1,47.0
S100P,457.0
RDH14,392.0
GDE1,204.0
LSM14B,16.0
TLE2,9.0
ACOT8,465.0
EIF4EBP3,58.0
LRP2BP,0.0
PELO,62.0
CDIPT,267.0
C19orf44,204.0
PABPN1,108.0
NFKBIB,379.0
ZWINT,1.0
DYNLL1,172.5
NRXN3,284.0
FYTTD1,76.0
CAPRIN1,105.0
AOC3,1.0
KIFC3,119.0
DOCK11,2.0
NENF,450.0
TMEM231,174.0
DNAH17,342.0
DCHS1,130.0
ZFYVE19,245.0
NTRK1,258.0
CCDC62,369.0
WDR53,0.0
NLN,9.0
TBC1D31,10.0
NOXRED1,566.0
ZNF597,1.0
RNF114,294.0
JOSD2,490.0
SFRP2,296.0
PNMA2,3.0
HENMT1,302.0
STX16,259.0
PTX3,174.0
BFAR,180.0
SHROOM3,6.0
NUP107,4.0
HS6ST1,37.0
BRWD3,177.0
FGF11,0.0
CCDC138,57.0
FAM193B,264.0
BATF,244.0
COL4A2,438.0
AGFG2,76.0
TVP23B,297.0
FBXO42,544.0
NBEAL1,232.0
BCL6,270.0
DNAJC3,143.0
C1orf233,316.0
VPS13B,612.0
ZMYM3,618.0
SEMA3D,524.0
ITGB6,31.0
RBM44,332.0
CEACAM21,12.0
ETV6,369.0
C1RL,133.0
CCDC181,47.0
GPN3,366.0
RAP1GAP,56.0
MAGED2,198.0
C1orf85,331.0
JRKL,194.0
BHLHE40,352.0
SPATA18,66.0
NTPCR,216.0
CBWD3,246.0
TLDC2,248.0
C14orf119,574.0
GNAI2,0.0
MNDA,0.0
FCGR2A,25.0
REV1,461.0
ECH1,403.5
ZNF491,31.0
LRRC24,629.5
C1orf109,29.0
GMFG,0.0
MAGEH1,73.0
GMFB,134.0
APOBEC3G,613.0
SLC7A2,165.0
IQCH,545.0
FAM83G,85.0
CCNA2,1.0
PSMC1,102.0
TGIF1,262.0
C18orf21,234.0
CD180,454.0
TDRKH,552.0
TXNDC15,18.0
IPO5,245.0
DGKD,96.0
TMPO,18.0
LY86,14.0
LDOC1,480.0
MAD2L1,1.0
BHMT2,105.0
BAI1,565.5
TOMM70A,0.0
MRI1,238.0
ARAP1,35.0
DZIP1,470.0
VDAC3,139.0
RBM42,222.0
ZNF2,448.5
ATP8B2,272.0
MMADHC,144.0
SIK3,235.0
GOLIM4,296.0
TSHZ2,195.0
ADAM11,136.0
SPCS2,498.0
SNX18,34.0
KIF17,1.0
PARP11,467.0
RAB42,595.0
ACP6,506.0
IL7,120.0
RBPMS2,98.0
MTDH,225.0
MT-CYB,93.0
TRIP6,209.0
CES1,490.0
CYSLTR1,21.0
SH3BGRL,8.0
TAF15,224.0
NPIPA1,373.0
DNAJA3,59.0
TIAF1,318.0
KAT5,45.0
KIAA0895,563.0
CHORDC1,57.0
TLR10,467.5
ELP3,397.0
RIOK1,22.0
HIBCH,382.0
OGFOD1,218.0
CSNK1G2,178.0
ADIPOR2,616.0
GNA14,0.0
CCDC68,1.0
ZNF564,187.0
ANKRD6,229.0
NDUFS3,273.0
EFCAB4B,284.0
STRN,159.5
SCARF2,182.0
C5orf22,20.0
PTPN2,445.0
FBXO45,0.0
TOP2B,341.0
ZNF16,41.0
AMIGO1,6.0
PPDPF,392.0
ESPN,33.0
LAPTM4A,64.0
KCNK3,0.0
PDE2A,14.0
TTLL11,20.0
FBXO38,2.0
ANKMY1,67.0
GTF2IRD1,0.0
BIRC6,231.0
SEC22A,143.0
ZC3H15,47.0
DHCR24,10.0
ZDHHC2,327.0
GLG1,257.0
CBR4,600.0
AK3,168.0
CNPY3,523.0
RELT,499.0
HEATR2,9.0
TSTD2,608.0
PRKX,40.0
PARD6A,234.0
FAM89B,414.0
RABL2B,187.0
PFN4,259.0
RPS6KL1,572.0
HDAC2,0.0
TMEM182,0.0
ARNT,150.0
CHDH,87.0
PRRG4,201.0
UVRAG,248.0
KCNQ4,384.0
SMIM8,407.0
MFAP5,489.0
DYNC2H1,121.0
THAP9,590.5
C17orf53,1.0
IST1,202.0
SLC39A10,201.0
ZNF675,402.0
MAPK1,377.0
TSR2,468.0
RIMBP2,296.5
BUB1B,1.0
CHST10,475.0
LCAT,38.5
AKR1C3,295.0
DAPK3,302.0
SETDB1,137.0
SLC6A9,518.0
ZNF17,440.0
GPR35,425.0
C20orf112,334.0
AEBP2,30.0
ABTB2,297.0
EXOC3L4,259.0
CLEC11A,474.0
IL20RB,1.0
UBQLN4,9.0
ZFYVE9,124.0
AGPAT4,226.0
PSME1,179.5
SCAMP1,325.0
TRAM2,397.0
PPP2R1B,369.0
INO80E,598.5
ATG5,333.0
H2AFV,29.0
ZNF232,513.0
KARS,98.0
NAP1L2,590.0
ZNF440,580.0
C1D,540.0
GFER,535.0
NFIB,181.0
SRC,259.0
EIF4EBP2,77.0
BANK1,5.0
SGSM3,488.0
TMEM26,462.5
RNASEL,173.0
FAM84A,43.0
TOMM40L,451.0
CEP128,82.0
RPP21,64.0
CCDC104,230.0
SLC4A7,377.0
SFMBT2,201.5
FAM189B,0.0
SLC36A1,165.0
CHI3L2,11.0
TMEM8A,372.0
SLC30A1,538.0
DPYSL2,0.0
FNDC1,131.0
LGALS2,156.0
ZNF354A,447.0
ESM1,558.0
FAM179B,221.0
SPAG4,190.0
HRH2,374.0
C3orf58,310.0
ABT1,437.0
TNC,119.0
ARNTL,383.0
KCTD15,184.0
CARD11,403.0
CIDEB,594.0
POGLUT1,97.0
ETS2,117.0
SIVA1,270.0
ITFG2,491.0
C8orf4,2.0
DLL1,583.0
PDDC1,562.0
CXADR,155.0
MIB1,119.0
ELOVL6,58.0
ADAMTS10,128.0
RHOF,160.0
APLP1,605.0
MOSPD2,66.0
AMN1,373.0
SELENBP1,0.0
RSPH9,77.0
TNFRSF11B,156.0
PIGU,15.0
PRELID1,496.0
NDUFV2,628.0
ZNF649,195.0
NOSTRIN,0.0
WDR91,603.0
XKR8,174.0
RCC1,0.0
FAM26F,627.0
CERK,479.0
TMEM242,571.0
MANF,246.0
IFNAR1,267.0
ANXA1,539.0
EMC4,359.0
ABCA6,2.0
RAB7L1,309.5
CDKN1C,164.0
KIAA0922,364.0
C19orf59,0.0
AKAP11,26.0
NMRK1,326.0
MRPS5,242.0
GDPD3,300.0
SMARCD2,88.0
SMARCAL1,410.0
HELZ2,500.0
CD1E,67.0
ACR,43.0
SLC12A7,602.0
SYCE3,227.0
C12orf49,0.0
HOOK3,441.0
PLEKHA5,174.0
SLC35D2,168.0
MCAM,108.0
EIF2B1,148.0
LRRC8C,35.0
S100A1,359.0
IRF8,1.0
MX2,445.0
CKLF,269.0
FANCB,1.0
SPP1,0.0
CERS5,336.0
MKI67,1.0
IRAK1,0.0
DDX59,543.5
IL2RA,347.0
CELF4,591.0
MARCH3,248.0
ARCN1,533.0
CD55,5.0
TMEM63C,24.0
SSSCA1,167.0
ILKAP,500.0
ATF3,61.0
NDUFA12,223.0
MARK4,164.0
KIAA1107,212.0
KLHL26,494.0
TSFM,6.0
TBC1D23,331.0
DHFR,22.0
MAPK10,233.0
CNIH3,416.0
PTP4A3,236.0
MBTPS2,188.0
PUS1,29.0
DDX27,62.0
B3GNT1,28.0
C4A,40.0
C17orf103,3.0
PIK3R4,74.0
NOMO3,97.0
EIF4A2,395.0
BMPR2,0.0
RNF32,321.0
SMIM13,22.0
EPHX4,269.0
LNX2,97.0
PCP4L1,439.0
SMCHD1,620.0
ACAT2,307.0
ULBP3,46.0
AGPAT3,308.0
ABCC1,35.0
CRLF3,603.0
ZFP14,633.0
VPS41,565.0
CHCHD2,137.0
ANO5,0.0
RALBP1,355.0
HERPUD2,218.0
ZNF596,294.0
NFU1,383.0
MRPL54,61.0
DMXL1,58.0
ZBTB8A,205.0
NFXL1,150.0
CTU2,247.0
NPDC1,9.0
PPP3R1,122.0
FAT2,10.0
AMMECR1L,337.0
ZFHX2,235.0
RSRC1,3.0
UBE2J1,154.0
PIP5K1A,485.0
PSMA5,183.0
CXorf56,289.0
RRP15,142.0
IL32,218.0
RPS20,474.0
ZBED6,568.0
RAD51D,134.0
ZNF71,526.0
C18orf54,39.0
RPUSD4,264.0
MRPS7,85.0
PRRC2B,434.0
LGR4,18.0
ANO7,219.0
MINOS1,503.0
CCDC107,46.0
DPP9,539.0
GPATCH8,434.0
MRPS31,267.0
NLGN3,312.0
TNFSF13,1.0
PLA2G7,523.0
ZNF503,492.0
RPS17,255.0
ZMIZ2,554.0
HSDL2,4.0
PSPN,284.0
ST3GAL2,90.0
TBC1D4,276.0
ADAR,421.0
MTPN,433.0
RHBDD3,12.0
MTR,340.0
LAMTOR3,355.0
RPS10-NUDT3,72.0
LSMEM1,234.0
TULP4,225.0
LENG8,305.0
PFDN4,0.0
LPAR2,5.0
MRPS16,42.0
C1orf43,471.5
CASP3,29.0
ARSA,289.0
FAM102B,270.0
ENPP2,32.0
RHBDF2,146.0
LAMTOR4,619.0
VTN,26.0
KIF5B,192.0
SYNE4,347.0
SNN,357.0
ST6GALNAC5,1.0
CAMKK1,456.0
PSMB7,54.0
UBE2H,259.0
PHF6,31.0
ERC1,636.0
NUDCD1,31.0
CAPZA2,87.0
ARHGAP29,3.0
AGTR1,0.0
WDR66,128.0
RCAN2,54.0
CLEC4E,0.0
SEPN1,176.0
SYT3,636.0
PEX3,465.0
ST14,8.0
NPL,426.0
CIAPIN1,281.0
RBMS3,0.0
ZFX,574.0
DNAJB1,497.0
TRIP11,511.0
EIF3E,326.0
SDAD1,244.0
ACVRL1,0.0
PLB1,349.0
MAP3K4,354.0
TARS2,25.0
PUS7,2.0
ZNF132,99.0
RMI2,1.0
ZNF516,593.0
ZNRD1,206.0
IGSF10,2.0
PCDHGA9,120.0
MTCH2,17.0
FOSB,65.0
KCNJ14,44.0
MID2,476.0
ZNF177,483.0
JPH2,71.0
CRIP2,7.0
C16orf58,504.5
PALMD,13.0
GINM1,67.0
APOBEC3C,227.0
PSENEN,599.0
CCT4,1.0
BEND7,131.0
CXorf36,0.0
CDH26,393.0
LRRC46,105.0
RPL35A,118.0
C5orf55,266.0
NPRL3,427.0
S1PR3,625.0
FOXA2,0.0
MSI2,17.0
RPL21,175.0
ISLR,591.0
TRUB2,32.0
EVC,242.0
CEP57L1,205.0
ENTPD1,60.0
EXOSC2,25.0
UTP6,51.0
MT1F,581.0
SH3YL1,236.0
SORBS1,0.0
MTMR2,196.5
RAB39A,569.0
NOC2L,36.0
ZNF568,565.0
MT-ND1,70.0
MAP3K7,61.0
STEAP1,35.0
PIK3C2A,84.0
LCN2,539.0
PNOC,570.0
DNM2,60.0
CYTH1,38.0
FAM195B,209.0
RNF8,322.0
ALMS1,217.0
CYP7B1,435.0
TRIQK,89.0
SLC25A3,419.0
P2RX4,154.0
PPM1A,454.0
ACTN1,311.0
C15orf61,297.0
CD80,67.0
ACTR1A,1.0
TRNP1,83.0
C9orf66,156.0
VAV3,266.0
ANKRD54,335.0
NEK7,8.0
RNF4,355.0
GRAMD4,548.0
ASB6,234.0
CX3CR1,0.0
TPCN2,452.0
OTUD7A,342.0
AIMP2,55.0
